"date","itemid","fiscalyear","Item","Normalization","Value"
1945,312,"1944/1945","Canada savings bonds","Real 2019 millions of dollars",0
1945,313,"1944/1945","Marketable bonds","Real 2019 millions of dollars",172997.15625
1945,320,"1944/1945","Superannuation accounts","Real 2019 millions of dollars",1395.37780761719
1945,330,"1944/1945","Other liabilities","Real 2019 millions of dollars",18986.044921875
1945,401,"1944/1945","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",5121.33349609375
1945,521,"1944/1945","Debt charges","Real 2019 millions of dollars",5047.111328125
1945,530,"1944/1945","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",37986.93359375
1946,100,"1945/1946","Net federal debt","Real 2019 millions of dollars",194896.265625
1946,200,"1945/1946","Financial assets","Real 2019 millions of dollars",64941.21875
1946,300,"1945/1946","Gross federal debt","Real 2019 millions of dollars",259837.484375
1946,310,"1945/1946","Unmatured debt","Real 2019 millions of dollars",236588.171875
1946,311,"1945/1946","Treasury bills","Real 2019 millions of dollars",6534.78271484375
1946,312,"1945/1946","Canada savings bonds","Real 2019 millions of dollars",0
1946,313,"1945/1946","Marketable bonds","Real 2019 millions of dollars",211959.3125
1946,320,"1945/1946","Superannuation accounts","Real 2019 millions of dollars",1408.60876464844
1946,330,"1945/1946","Other liabilities","Real 2019 millions of dollars",21840.6953125
1946,401,"1945/1946","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2759.13037109375
1946,521,"1945/1946","Debt charges","Real 2019 millions of dollars",6360.52197265625
1946,530,"1945/1946","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",30829.65234375
1947,100,"1946/1947","Net federal debt","Real 2019 millions of dollars",179712.671875
1947,200,"1946/1947","Financial assets","Real 2019 millions of dollars",64004.046875
1947,300,"1946/1947","Gross federal debt","Real 2019 millions of dollars",243716.71875
1947,310,"1946/1947","Unmatured debt","Real 2019 millions of dollars",220343.609375
1947,311,"1946/1947","Treasury bills","Real 2019 millions of dollars",6197.93896484375
1947,312,"1946/1947","Canada savings bonds","Real 2019 millions of dollars",10274.8056640625
1947,313,"1946/1947","Marketable bonds","Real 2019 millions of dollars",192439.109375
1947,320,"1946/1947","Superannuation accounts","Real 2019 millions of dollars",1432.41247558594
1947,330,"1946/1947","Other liabilities","Real 2019 millions of dollars",21940.703125
1947,401,"1946/1947","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2203.71166992188
1947,521,"1946/1947","Debt charges","Real 2019 millions of dollars",6569.81494140625
1947,530,"1946/1947","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-5151.17578125
1948,100,"1947/1948","Net federal debt","Real 2019 millions of dollars",147580.296875
1948,200,"1947/1948","Financial assets","Real 2019 millions of dollars",57471.859375
1948,300,"1947/1948","Gross federal debt","Real 2019 millions of dollars",205052.15625
1948,310,"1947/1948","Unmatured debt","Real 2019 millions of dollars",184869.015625
1948,311,"1947/1948","Treasury bills","Real 2019 millions of dollars",5367.857421875
1948,312,"1947/1948","Canada savings bonds","Real 2019 millions of dollars",10509.072265625
1948,313,"1947/1948","Marketable bonds","Real 2019 millions of dollars",158852.796875
1948,320,"1947/1948","Superannuation accounts","Real 2019 millions of dollars",1467.21435546875
1948,330,"1947/1948","Other liabilities","Real 2019 millions of dollars",18715.9296875
1948,401,"1947/1948","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2457.28588867188
1948,521,"1947/1948","Debt charges","Real 2019 millions of dollars",5570.64306640625
1948,530,"1947/1948","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-8063.71484375
1949,100,"1948/1949","Net federal debt","Real 2019 millions of dollars",130022.609375
1949,200,"1948/1949","Financial assets","Real 2019 millions of dollars",56984.265625
1949,300,"1948/1949","Gross federal debt","Real 2019 millions of dollars",187006.875
1949,310,"1948/1949","Unmatured debt","Real 2019 millions of dollars",170201.984375
1949,311,"1948/1949","Treasury bills","Real 2019 millions of dollars",4968.59521484375
1949,312,"1948/1949","Canada savings bonds","Real 2019 millions of dollars",8280.9912109375
1949,313,"1948/1949","Marketable bonds","Real 2019 millions of dollars",147567.265625
1949,320,"1948/1949","Superannuation accounts","Real 2019 millions of dollars",1612.03308105469
1949,330,"1948/1949","Other liabilities","Real 2019 millions of dollars",15192.859375
1949,401,"1948/1949","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3389.68603515625
1949,521,"1948/1949","Debt charges","Real 2019 millions of dollars",5244.6279296875
1949,530,"1948/1949","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-6580.6279296875
1950,100,"1949/1950","Net federal debt","Real 2019 millions of dollars",128366.4140625
1950,200,"1949/1950","Financial assets","Real 2019 millions of dollars",56310.7421875
1950,300,"1949/1950","Gross federal debt","Real 2019 millions of dollars",184677.15625
1950,310,"1949/1950","Unmatured debt","Real 2019 millions of dollars",166425.84375
1950,311,"1949/1950","Treasury bills","Real 2019 millions of dollars",4968.59521484375
1950,312,"1949/1950","Canada savings bonds","Real 2019 millions of dollars",9837.818359375
1950,313,"1949/1950","Marketable bonds","Real 2019 millions of dollars",142234.3125
1950,320,"1949/1950","Superannuation accounts","Real 2019 millions of dollars",1932.2314453125
1950,330,"1949/1950","Other liabilities","Real 2019 millions of dollars",16319.07421875
1950,401,"1949/1950","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",5520.6611328125
1950,521,"1949/1950","Debt charges","Real 2019 millions of dollars",4979.63623046875
1950,530,"1949/1950","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-1446.41320800781
1951,100,"1950/1951","Net federal debt","Real 2019 millions of dollars",117434.40625
1951,200,"1950/1951","Financial assets","Real 2019 millions of dollars",54375.19921875
1951,300,"1950/1951","Gross federal debt","Real 2019 millions of dollars",171809.609375
1951,310,"1950/1951","Unmatured debt","Real 2019 millions of dollars",154174.40625
1951,311,"1950/1951","Treasury bills","Real 2019 millions of dollars",4624.615234375
1951,312,"1950/1951","Canada savings bonds","Real 2019 millions of dollars",9814.4619140625
1951,313,"1950/1951","Marketable bonds","Real 2019 millions of dollars",129972.25
1951,320,"1950/1951","Superannuation accounts","Real 2019 millions of dollars",2928.92309570312
1951,330,"1950/1951","Other liabilities","Real 2019 millions of dollars",14706.27734375
1951,401,"1950/1951","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",4336.86181640625
1951,521,"1950/1951","Debt charges","Real 2019 millions of dollars",4511.5693359375
1951,530,"1950/1951","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-2178.70776367188
1952,100,"1951/1952","Net federal debt","Real 2019 millions of dollars",103567.84375
1952,200,"1951/1952","Financial assets","Real 2019 millions of dollars",52475.1171875
1952,300,"1951/1952","Gross federal debt","Real 2019 millions of dollars",156042.953125
1952,310,"1951/1952","Unmatured debt","Real 2019 millions of dollars",136336.953125
1952,311,"1951/1952","Treasury bills","Real 2019 millions of dollars",4175.00048828125
1952,312,"1951/1952","Canada savings bonds","Real 2019 millions of dollars",9825.16796875
1952,313,"1951/1952","Marketable bonds","Real 2019 millions of dollars",113522.8984375
1952,320,"1951/1952","Superannuation accounts","Real 2019 millions of dollars",4175.00048828125
1952,330,"1951/1952","Other liabilities","Real 2019 millions of dollars",15531.001953125
1952,401,"1951/1952","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3674.00048828125
1952,521,"1951/1952","Debt charges","Real 2019 millions of dollars",4926.50048828125
1952,530,"1951/1952","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-2300.88916015625
1953,100,"1952/1953","Net federal debt","Real 2019 millions of dollars",105657.703125
1953,200,"1952/1953","Financial assets","Real 2019 millions of dollars",58802.953125
1953,300,"1952/1953","Gross federal debt","Real 2019 millions of dollars",164460.65625
1953,310,"1952/1953","Unmatured debt","Real 2019 millions of dollars",140336.859375
1953,311,"1952/1953","Treasury bills","Real 2019 millions of dollars",5685.1064453125
1953,312,"1952/1953","Canada savings bonds","Real 2019 millions of dollars",11048.056640625
1953,313,"1952/1953","Marketable bonds","Real 2019 millions of dollars",114602.2734375
1953,320,"1952/1953","Superannuation accounts","Real 2019 millions of dollars",5391.3759765625
1953,330,"1952/1953","Other liabilities","Real 2019 millions of dollars",18732.42578125
1953,401,"1952/1953","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3733.21997070312
1953,521,"1952/1953","Debt charges","Real 2019 millions of dollars",4405.95751953125
1953,530,"1952/1953","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",577.98583984375
1954,100,"1953/1954","Net federal debt","Real 2019 millions of dollars",105098.671875
1954,200,"1953/1954","Financial assets","Real 2019 millions of dollars",61266.49609375
1954,300,"1953/1954","Gross federal debt","Real 2019 millions of dollars",166365.171875
1954,310,"1953/1954","Unmatured debt","Real 2019 millions of dollars",138110.1875
1954,311,"1953/1954","Treasury bills","Real 2019 millions of dollars",6158.865234375
1954,312,"1953/1954","Canada savings bonds","Real 2019 millions of dollars",14762.326171875
1954,313,"1953/1954","Marketable bonds","Real 2019 millions of dollars",110082.609375
1954,320,"1953/1954","Superannuation accounts","Real 2019 millions of dollars",6661.0498046875
1954,330,"1953/1954","Other liabilities","Real 2019 millions of dollars",21593.9296875
1954,401,"1953/1954","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3714.26953125
1954,521,"1953/1954","Debt charges","Real 2019 millions of dollars",4699.68798828125
1954,530,"1953/1954","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",312.680847167969
1955,100,"1954/1955","Net federal debt","Real 2019 millions of dollars",106396.765625
1955,200,"1954/1955","Financial assets","Real 2019 millions of dollars",59996.82421875
1955,300,"1954/1955","Gross federal debt","Real 2019 millions of dollars",166393.59375
1955,310,"1954/1955","Unmatured debt","Real 2019 millions of dollars",137352.171875
1955,311,"1954/1955","Treasury bills","Real 2019 millions of dollars",8432.908203125
1955,312,"1954/1955","Canada savings bonds","Real 2019 millions of dollars",19244.0859375
1955,313,"1954/1955","Marketable bonds","Real 2019 millions of dollars",103042.5546875
1955,320,"1954/1955","Superannuation accounts","Real 2019 millions of dollars",8395.0068359375
1955,330,"1954/1955","Other liabilities","Real 2019 millions of dollars",20646.412109375
1955,401,"1954/1955","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3790.07104492188
1955,521,"1954/1955","Debt charges","Real 2019 millions of dollars",4756.5390625
1955,530,"1954/1955","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",2302.46826171875
1956,100,"1955/1956","Net federal debt","Real 2019 millions of dollars",105760.3984375
1956,200,"1955/1956","Financial assets","Real 2019 millions of dollars",70158.8203125
1956,300,"1955/1956","Gross federal debt","Real 2019 millions of dollars",175919.21875
1956,310,"1955/1956","Unmatured debt","Real 2019 millions of dollars",144965.421875
1956,311,"1955/1956","Treasury bills","Real 2019 millions of dollars",15053.521484375
1956,312,"1955/1956","Canada savings bonds","Real 2019 millions of dollars",22392.11328125
1956,313,"1955/1956","Marketable bonds","Real 2019 millions of dollars",102815.5546875
1956,320,"1955/1956","Superannuation accounts","Real 2019 millions of dollars",9662.4794921875
1956,330,"1955/1956","Other liabilities","Real 2019 millions of dollars",21291.32421875
1956,401,"1955/1956","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3311.77490234375
1956,521,"1955/1956","Debt charges","Real 2019 millions of dollars",4835.94384765625
1956,530,"1955/1956","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",668.000061035156
1957,100,"1956/1957","Net federal debt","Real 2019 millions of dollars",100355.5625
1957,200,"1956/1957","Financial assets","Real 2019 millions of dollars",64009.04296875
1957,300,"1956/1957","Gross federal debt","Real 2019 millions of dollars",164364.609375
1957,310,"1956/1957","Unmatured debt","Real 2019 millions of dollars",131477.046875
1957,311,"1956/1957","Treasury bills","Real 2019 millions of dollars",14869.86328125
1957,312,"1956/1957","Canada savings bonds","Real 2019 millions of dollars",22153.80859375
1957,313,"1956/1957","Marketable bonds","Real 2019 millions of dollars",94453.375
1957,320,"1956/1957","Superannuation accounts","Real 2019 millions of dollars",11603.068359375
1957,330,"1956/1957","Other liabilities","Real 2019 millions of dollars",21284.494140625
1957,401,"1956/1957","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3221.04125976562
1957,521,"1956/1957","Debt charges","Real 2019 millions of dollars",4886.4658203125
1957,530,"1956/1957","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-2379.17822265625
1958,100,"1957/1958","Net federal debt","Real 2019 millions of dollars",98106.9375
1958,200,"1957/1958","Financial assets","Real 2019 millions of dollars",62480.26953125
1958,300,"1957/1958","Gross federal debt","Real 2019 millions of dollars",160587.203125
1958,310,"1957/1958","Unmatured debt","Real 2019 millions of dollars",126875.46875
1958,311,"1957/1958","Treasury bills","Real 2019 millions of dollars",13582.6669921875
1958,312,"1957/1958","Canada savings bonds","Real 2019 millions of dollars",22685.28125
1958,313,"1957/1958","Marketable bonds","Real 2019 millions of dollars",90607.5234375
1958,320,"1957/1958","Superannuation accounts","Real 2019 millions of dollars",13306.560546875
1958,330,"1957/1958","Other liabilities","Real 2019 millions of dollars",20405.173828125
1958,401,"1957/1958","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3135.14672851562
1958,521,"1957/1958","Debt charges","Real 2019 millions of dollars",5050.080078125
1958,530,"1957/1958","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",552.21337890625
1959,100,"1958/1959","Net federal debt","Real 2019 millions of dollars",101527.2734375
1959,200,"1958/1959","Financial assets","Real 2019 millions of dollars",70563.5078125
1959,300,"1958/1959","Gross federal debt","Real 2019 millions of dollars",172090.78125
1959,310,"1958/1959","Unmatured debt","Real 2019 millions of dollars",135992.578125
1959,311,"1958/1959","Treasury bills","Real 2019 millions of dollars",13927.58203125
1959,312,"1958/1959","Canada savings bonds","Real 2019 millions of dollars",24868.8125
1959,313,"1958/1959","Marketable bonds","Real 2019 millions of dollars",97196.1875
1959,320,"1958/1959","Superannuation accounts","Real 2019 millions of dollars",14818.2490234375
1959,330,"1958/1959","Other liabilities","Real 2019 millions of dollars",21279.94921875
1959,401,"1958/1959","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",1763.86938476562
1959,521,"1958/1959","Debt charges","Real 2019 millions of dollars",5658.35302734375
1959,530,"1958/1959","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",7168.99365234375
1960,100,"1959/1960","Net federal debt","Real 2019 millions of dollars",103837.375
1960,200,"1959/1960","Financial assets","Real 2019 millions of dollars",71988.8515625
1960,300,"1959/1960","Gross federal debt","Real 2019 millions of dollars",175826.21875
1960,310,"1959/1960","Unmatured debt","Real 2019 millions of dollars",136961.546875
1960,311,"1959/1960","Treasury bills","Real 2019 millions of dollars",18316.12890625
1960,312,"1959/1960","Canada savings bonds","Real 2019 millions of dollars",27038.91796875
1960,313,"1959/1960","Marketable bonds","Real 2019 millions of dollars",91606.5078125
1960,320,"1959/1960","Superannuation accounts","Real 2019 millions of dollars",16462.96875
1960,330,"1959/1960","Other liabilities","Real 2019 millions of dollars",22401.703125
1960,401,"1959/1960","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",1741.10974121094
1960,521,"1959/1960","Debt charges","Real 2019 millions of dollars",6757.57421875
1960,530,"1959/1960","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",3801.13549804688
1961,100,"1960/1961","Net federal debt","Real 2019 millions of dollars",105467.421875
1961,200,"1960/1961","Financial assets","Real 2019 millions of dollars",72075.9296875
1961,300,"1960/1961","Gross federal debt","Real 2019 millions of dollars",177543.359375
1961,310,"1960/1961","Unmatured debt","Real 2019 millions of dollars",136731.53125
1961,311,"1960/1961","Treasury bills","Real 2019 millions of dollars",16465.98828125
1961,312,"1960/1961","Canada savings bonds","Real 2019 millions of dollars",30251.466796875
1961,313,"1960/1961","Marketable bonds","Real 2019 millions of dollars",90014.0703125
1961,320,"1960/1961","Superannuation accounts","Real 2019 millions of dollars",17921.123046875
1961,330,"1960/1961","Other liabilities","Real 2019 millions of dollars",22890.703125
1961,401,"1960/1961","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",1106.2421875
1961,521,"1960/1961","Debt charges","Real 2019 millions of dollars",6790.625
1961,530,"1960/1961","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",2808.15307617188
1962,100,"1961/1962","Net federal debt","Real 2019 millions of dollars",113840.828125
1962,200,"1961/1962","Financial assets","Real 2019 millions of dollars",79964.2890625
1962,300,"1961/1962","Gross federal debt","Real 2019 millions of dollars",193805.109375
1962,310,"1961/1962","Unmatured debt","Real 2019 millions of dollars",144202.921875
1962,311,"1961/1962","Treasury bills","Real 2019 millions of dollars",16040.5107421875
1962,312,"1961/1962","Canada savings bonds","Real 2019 millions of dollars",34506.24609375
1962,313,"1961/1962","Marketable bonds","Real 2019 millions of dollars",93656.1640625
1962,320,"1961/1962","Superannuation accounts","Real 2019 millions of dollars",19793.224609375
1962,330,"1961/1962","Other liabilities","Real 2019 millions of dollars",29808.970703125
1962,401,"1961/1962","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",1106.2421875
1962,521,"1961/1962","Debt charges","Real 2019 millions of dollars",7139.5166015625
1962,530,"1961/1962","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",6560.86669921875
1963,100,"1962/1963","Net federal debt","Real 2019 millions of dollars",117559.65625
1963,200,"1962/1963","Financial assets","Real 2019 millions of dollars",86965.25
1963,300,"1962/1963","Gross federal debt","Real 2019 millions of dollars",204524.90625
1963,310,"1962/1963","Unmatured debt","Real 2019 millions of dollars",149982.703125
1963,311,"1962/1963","Treasury bills","Real 2019 millions of dollars",18077.75
1963,312,"1962/1963","Canada savings bonds","Real 2019 millions of dollars",38259.69921875
1963,313,"1962/1963","Marketable bonds","Real 2019 millions of dollars",93645.25
1963,320,"1962/1963","Superannuation accounts","Real 2019 millions of dollars",21735.05078125
1963,330,"1962/1963","Other liabilities","Real 2019 millions of dollars",32807.15234375
1963,401,"1962/1963","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3431.85009765625
1963,521,"1962/1963","Debt charges","Real 2019 millions of dollars",7665.30029296875
1963,530,"1962/1963","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",6137.25
1964,100,"1963/1964","Net federal debt","Real 2019 millions of dollars",125092.234375
1964,200,"1963/1964","Financial assets","Real 2019 millions of dollars",89749.703125
1964,300,"1963/1964","Gross federal debt","Real 2019 millions of dollars",214841.9375
1964,310,"1963/1964","Unmatured debt","Real 2019 millions of dollars",153599.03125
1964,311,"1963/1964","Treasury bills","Real 2019 millions of dollars",18277.79296875
1964,312,"1963/1964","Canada savings bonds","Real 2019 millions of dollars",41735.66015625
1964,313,"1963/1964","Marketable bonds","Real 2019 millions of dollars",93585.578125
1964,320,"1963/1964","Superannuation accounts","Real 2019 millions of dollars",28719.904296875
1964,330,"1963/1964","Other liabilities","Real 2019 millions of dollars",32522.99609375
1964,401,"1963/1964","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3081.81616210938
1964,521,"1963/1964","Debt charges","Real 2019 millions of dollars",8147.14208984375
1964,530,"1963/1964","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",5557.10498046875
1965,100,"1964/1965","Net federal debt","Real 2019 millions of dollars",126742.9453125
1965,200,"1964/1965","Financial assets","Real 2019 millions of dollars",89254.4609375
1965,300,"1964/1965","Gross federal debt","Real 2019 millions of dollars",215997.40625
1965,310,"1964/1965","Unmatured debt","Real 2019 millions of dollars",152738.609375
1965,311,"1964/1965","Treasury bills","Real 2019 millions of dollars",17223.1328125
1965,312,"1964/1965","Canada savings bonds","Real 2019 millions of dollars",44683.56640625
1965,313,"1964/1965","Marketable bonds","Real 2019 millions of dollars",90831.90625
1965,320,"1964/1965","Superannuation accounts","Real 2019 millions of dollars",33729.9765625
1965,330,"1964/1965","Other liabilities","Real 2019 millions of dollars",29528.8203125
1965,401,"1964/1965","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3026.12060546875
1965,521,"1964/1965","Debt charges","Real 2019 millions of dollars",8458.6513671875
1965,530,"1964/1965","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-297.783142089844
1966,100,"1965/1966","Net federal debt","Real 2019 millions of dollars",120169.6796875
1966,200,"1965/1966","Financial assets","Real 2019 millions of dollars",96543.578125
1966,300,"1965/1966","Gross federal debt","Real 2019 millions of dollars",216713.25
1966,310,"1965/1966","Unmatured debt","Real 2019 millions of dollars",149303.859375
1966,311,"1965/1966","Treasury bills","Real 2019 millions of dollars",16797.66015625
1966,312,"1965/1966","Canada savings bonds","Real 2019 millions of dollars",44791.15625
1966,313,"1965/1966","Marketable bonds","Real 2019 millions of dollars",87715.0390625
1966,320,"1965/1966","Superannuation accounts","Real 2019 millions of dollars",34681.30859375
1966,330,"1965/1966","Other liabilities","Real 2019 millions of dollars",32728.091796875
1966,401,"1965/1966","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2898.57299804688
1966,521,"1965/1966","Debt charges","Real 2019 millions of dollars",8648.841796875
1966,530,"1965/1966","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-1312.56140136719
1967,100,"1966/1967","Net federal debt","Real 2019 millions of dollars",119756.921875
1967,200,"1966/1967","Financial assets","Real 2019 millions of dollars",105506.2578125
1967,300,"1966/1967","Gross federal debt","Real 2019 millions of dollars",225263.1875
1967,310,"1966/1967","Unmatured debt","Real 2019 millions of dollars",150507.5625
1967,311,"1966/1967","Treasury bills","Real 2019 millions of dollars",17435.931640625
1967,312,"1966/1967","Canada savings bonds","Real 2019 millions of dollars",45408.90234375
1967,313,"1966/1967","Marketable bonds","Real 2019 millions of dollars",87647.640625
1967,320,"1966/1967","Superannuation accounts","Real 2019 millions of dollars",36924.92578125
1967,330,"1966/1967","Other liabilities","Real 2019 millions of dollars",37830.6875
1967,401,"1966/1967","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2762.576171875
1967,521,"1966/1967","Debt charges","Real 2019 millions of dollars",8906.6669921875
1967,530,"1966/1967","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",2219.11865234375
1968,100,"1967/1968","Net federal debt","Real 2019 millions of dollars",120694.96875
1968,200,"1967/1968","Financial assets","Real 2019 millions of dollars",110454.703125
1968,300,"1967/1968","Gross federal debt","Real 2019 millions of dollars",231149.671875
1968,310,"1967/1968","Unmatured debt","Real 2019 millions of dollars",148620.984375
1968,311,"1967/1968","Treasury bills","Real 2019 millions of dollars",17909.623046875
1968,312,"1967/1968","Canada savings bonds","Real 2019 millions of dollars",44030.23046875
1968,313,"1967/1968","Marketable bonds","Real 2019 millions of dollars",86645.015625
1968,320,"1967/1968","Superannuation accounts","Real 2019 millions of dollars",38642.8984375
1968,330,"1967/1968","Other liabilities","Real 2019 millions of dollars",43885.796875
1968,401,"1967/1968","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",1155.45947265625
1968,521,"1967/1968","Debt charges","Real 2019 millions of dollars",9323.1142578125
1968,530,"1967/1968","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",5582.3134765625
1969,100,"1968/1969","Net federal debt","Real 2019 millions of dollars",121047.1640625
1969,200,"1968/1969","Financial assets","Real 2019 millions of dollars",118006.3671875
1969,300,"1968/1969","Gross federal debt","Real 2019 millions of dollars",239053.53125
1969,310,"1968/1969","Unmatured debt","Real 2019 millions of dollars",153786.125
1969,311,"1968/1969","Treasury bills","Real 2019 millions of dollars",19761.666015625
1969,312,"1968/1969","Canada savings bonds","Real 2019 millions of dollars",42919
1969,313,"1968/1969","Marketable bonds","Real 2019 millions of dollars",91028.9140625
1969,320,"1968/1969","Superannuation accounts","Real 2019 millions of dollars",40942.83203125
1969,330,"1968/1969","Other liabilities","Real 2019 millions of dollars",44324.58203125
1969,401,"1968/1969","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",3082.54150390625
1969,521,"1968/1969","Debt charges","Real 2019 millions of dollars",10207.875
1969,530,"1968/1969","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",4599.4580078125
1970,100,"1969/1970","Net federal debt","Real 2019 millions of dollars",119677.828125
1970,200,"1969/1970","Financial assets","Real 2019 millions of dollars",117230.6953125
1970,300,"1969/1970","Gross federal debt","Real 2019 millions of dollars",236908.53125
1970,310,"1969/1970","Unmatured debt","Real 2019 millions of dollars",149717.984375
1970,311,"1969/1970","Treasury bills","Real 2019 millions of dollars",19147.12890625
1970,312,"1969/1970","Canada savings bonds","Real 2019 millions of dollars",43512.59765625
1970,313,"1969/1970","Marketable bonds","Real 2019 millions of dollars",86959.0546875
1970,320,"1969/1970","Superannuation accounts","Real 2019 millions of dollars",43023.171875
1970,330,"1969/1970","Other liabilities","Real 2019 millions of dollars",44167.3671875
1970,401,"1969/1970","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2956.39624023438
1970,521,"1969/1970","Debt charges","Real 2019 millions of dollars",11217.109375
1970,530,"1969/1970","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",-2453.74267578125
1971,100,"1970/1971","Net federal debt","Real 2019 millions of dollars",121687.34375
1971,200,"1970/1971","Financial assets","Real 2019 millions of dollars",139815.03125
1971,300,"1970/1971","Gross federal debt","Real 2019 millions of dollars",261502.375
1971,310,"1970/1971","Unmatured debt","Real 2019 millions of dollars",165041.859375
1971,311,"1970/1971","Treasury bills","Real 2019 millions of dollars",24460.58984375
1971,312,"1970/1971","Canada savings bonds","Real 2019 millions of dollars",51115.1015625
1971,313,"1970/1971","Marketable bonds","Real 2019 millions of dollars",89328.6328125
1971,320,"1970/1971","Superannuation accounts","Real 2019 millions of dollars",47748.90625
1971,330,"1970/1971","Other liabilities","Real 2019 millions of dollars",48711.61328125
1971,401,"1970/1971","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2207.01977539062
1971,521,"1970/1971","Debt charges","Real 2019 millions of dollars",11644.158203125
1971,530,"1970/1971","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",4178.27490234375
1972,100,"1971/1972","Net federal debt","Real 2019 millions of dollars",120664.53125
1972,200,"1971/1972","Financial assets","Real 2019 millions of dollars",152541.25
1972,300,"1971/1972","Gross federal debt","Real 2019 millions of dollars",273205.78125
1972,310,"1971/1972","Unmatured debt","Real 2019 millions of dollars",170171.453125
1972,311,"1971/1972","Treasury bills","Real 2019 millions of dollars",23910.65625
1972,312,"1971/1972","Canada savings bonds","Real 2019 millions of dollars",60631.9296875
1972,313,"1971/1972","Marketable bonds","Real 2019 millions of dollars",85460.3046875
1972,320,"1971/1972","Superannuation accounts","Real 2019 millions of dollars",50693.0859375
1972,330,"1971/1972","Other liabilities","Real 2019 millions of dollars",52341.23828125
1972,401,"1971/1972","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",2091.40209960938
1972,521,"1971/1972","Debt charges","Real 2019 millions of dollars",12573.3837890625
1972,530,"1971/1972","Cash deficit (+) or surplus (-)","Real 2019 millions of dollars",8271.962890625
1973,100,"1972/1973","Net federal debt","Real 2019 millions of dollars",118957.203125
1973,200,"1972/1973","Financial assets","Real 2019 millions of dollars",154219.328125
1973,300,"1972/1973","Gross federal debt","Real 2019 millions of dollars",273176.53125
1973,310,"1972/1973","Unmatured debt","Real 2019 millions of dollars",171658.265625
1973,311,"1972/1973","Treasury bills","Real 2019 millions of dollars",25360.353515625
1973,312,"1972/1973","Canada savings bonds","Real 2019 millions of dollars",64961.5234375
1973,313,"1972/1973","Marketable bonds","Real 2019 millions of dollars",81135.3984375
1973,320,"1972/1973","Superannuation accounts","Real 2019 millions of dollars",54220.31640625
1973,330,"1972/1973","Other liabilities","Real 2019 millions of dollars",47297.9453125
1973,401,"1972/1973","Unmatured debt payable in foreign currencies","Real 2019 millions of dollars",1974.44250488281
