"date","itemid","fiscalyear","Item","Normalization","Value"
1874,521,"1873/1874","Debt charges","Nominal millions of dollars",6
1874,530,"1873/1874","Cash deficit (+) or surplus (-)","Nominal millions of dollars",8
1875,100,"1874/1875","Net federal debt","Nominal millions of dollars",116
1875,200,"1874/1875","Financial assets","Nominal millions of dollars",36
1875,300,"1874/1875","Gross federal debt","Nominal millions of dollars",152
1875,310,"1874/1875","Unmatured debt","Nominal millions of dollars",108
1875,311,"1874/1875","Treasury bills","Nominal millions of dollars",0
1875,312,"1874/1875","Canada savings bonds","Nominal millions of dollars",0
1875,313,"1874/1875","Marketable bonds","Nominal millions of dollars",108
1875,320,"1874/1875","Superannuation accounts","Nominal millions of dollars",0
1875,330,"1874/1875","Other liabilities","Nominal millions of dollars",44
1875,401,"1874/1875","Unmatured debt payable in foreign currencies","Nominal millions of dollars",100
1875,521,"1874/1875","Debt charges","Nominal millions of dollars",7
1875,530,"1874/1875","Cash deficit (+) or surplus (-)","Nominal millions of dollars",7
1876,100,"1875/1876","Net federal debt","Nominal millions of dollars",125
1876,200,"1875/1876","Financial assets","Nominal millions of dollars",36
1876,300,"1875/1876","Gross federal debt","Nominal millions of dollars",161
1876,310,"1875/1876","Unmatured debt","Nominal millions of dollars",120
1876,311,"1875/1876","Treasury bills","Nominal millions of dollars",0
1876,312,"1875/1876","Canada savings bonds","Nominal millions of dollars",0
1876,313,"1875/1876","Marketable bonds","Nominal millions of dollars",120
1876,320,"1875/1876","Superannuation accounts","Nominal millions of dollars",0
1876,330,"1875/1876","Other liabilities","Nominal millions of dollars",41
1876,401,"1875/1876","Unmatured debt payable in foreign currencies","Nominal millions of dollars",112
1876,521,"1875/1876","Debt charges","Nominal millions of dollars",6
1876,530,"1875/1876","Cash deficit (+) or surplus (-)","Nominal millions of dollars",8
1877,100,"1876/1877","Net federal debt","Nominal millions of dollars",133
1877,200,"1876/1877","Financial assets","Nominal millions of dollars",42
1877,300,"1876/1877","Gross federal debt","Nominal millions of dollars",175
1877,310,"1876/1877","Unmatured debt","Nominal millions of dollars",131
1877,311,"1876/1877","Treasury bills","Nominal millions of dollars",0
1877,312,"1876/1877","Canada savings bonds","Nominal millions of dollars",0
1877,313,"1876/1877","Marketable bonds","Nominal millions of dollars",131
1877,320,"1876/1877","Superannuation accounts","Nominal millions of dollars",0
1877,330,"1876/1877","Other liabilities","Nominal millions of dollars",44
1877,401,"1876/1877","Unmatured debt payable in foreign currencies","Nominal millions of dollars",122
1877,521,"1876/1877","Debt charges","Nominal millions of dollars",7
1877,530,"1876/1877","Cash deficit (+) or surplus (-)","Nominal millions of dollars",9
1878,100,"1877/1878","Net federal debt","Nominal millions of dollars",140
1878,200,"1877/1878","Financial assets","Nominal millions of dollars",35
1878,300,"1877/1878","Gross federal debt","Nominal millions of dollars",175
1878,310,"1877/1878","Unmatured debt","Nominal millions of dollars",130
1878,311,"1877/1878","Treasury bills","Nominal millions of dollars",0
1878,312,"1877/1878","Canada savings bonds","Nominal millions of dollars",0
1878,313,"1877/1878","Marketable bonds","Nominal millions of dollars",130
1878,320,"1877/1878","Superannuation accounts","Nominal millions of dollars",0
1878,330,"1877/1878","Other liabilities","Nominal millions of dollars",45
1878,401,"1877/1878","Unmatured debt payable in foreign currencies","Nominal millions of dollars",121
1878,521,"1877/1878","Debt charges","Nominal millions of dollars",7
1878,530,"1877/1878","Cash deficit (+) or surplus (-)","Nominal millions of dollars",8
1879,100,"1878/1879","Net federal debt","Nominal millions of dollars",143
1879,200,"1878/1879","Financial assets","Nominal millions of dollars",37
1879,300,"1878/1879","Gross federal debt","Nominal millions of dollars",180
1879,310,"1878/1879","Unmatured debt","Nominal millions of dollars",138
1879,311,"1878/1879","Treasury bills","Nominal millions of dollars",0
1879,312,"1878/1879","Canada savings bonds","Nominal millions of dollars",0
1879,313,"1878/1879","Marketable bonds","Nominal millions of dollars",138
1879,320,"1878/1879","Superannuation accounts","Nominal millions of dollars",0
1879,330,"1878/1879","Other liabilities","Nominal millions of dollars",42
1879,401,"1878/1879","Unmatured debt payable in foreign currencies","Nominal millions of dollars",128
1879,521,"1878/1879","Debt charges","Nominal millions of dollars",7
1879,530,"1878/1879","Cash deficit (+) or surplus (-)","Nominal millions of dollars",3
1880,100,"1879/1880","Net federal debt","Nominal millions of dollars",152
1880,200,"1879/1880","Financial assets","Nominal millions of dollars",43
1880,300,"1879/1880","Gross federal debt","Nominal millions of dollars",195
1880,310,"1879/1880","Unmatured debt","Nominal millions of dollars",149
1880,311,"1879/1880","Treasury bills","Nominal millions of dollars",0
1880,312,"1879/1880","Canada savings bonds","Nominal millions of dollars",0
1880,313,"1879/1880","Marketable bonds","Nominal millions of dollars",149
1880,320,"1879/1880","Superannuation accounts","Nominal millions of dollars",0
1880,330,"1879/1880","Other liabilities","Nominal millions of dollars",46
1880,401,"1879/1880","Unmatured debt payable in foreign currencies","Nominal millions of dollars",137
1880,521,"1879/1880","Debt charges","Nominal millions of dollars",8
1880,530,"1879/1880","Cash deficit (+) or surplus (-)","Nominal millions of dollars",10
1881,100,"1880/1881","Net federal debt","Nominal millions of dollars",155
1881,200,"1880/1881","Financial assets","Nominal millions of dollars",45
1881,300,"1880/1881","Gross federal debt","Nominal millions of dollars",200
1881,310,"1880/1881","Unmatured debt","Nominal millions of dollars",147
1881,311,"1880/1881","Treasury bills","Nominal millions of dollars",0
1881,312,"1880/1881","Canada savings bonds","Nominal millions of dollars",0
1881,313,"1880/1881","Marketable bonds","Nominal millions of dollars",147
1881,320,"1880/1881","Superannuation accounts","Nominal millions of dollars",0
1881,330,"1880/1881","Other liabilities","Nominal millions of dollars",53
1881,401,"1880/1881","Unmatured debt payable in foreign currencies","Nominal millions of dollars",137
1881,521,"1880/1881","Debt charges","Nominal millions of dollars",8
1881,530,"1880/1881","Cash deficit (+) or surplus (-)","Nominal millions of dollars",3
1882,100,"1881/1882","Net federal debt","Nominal millions of dollars",154
1882,200,"1881/1882","Financial assets","Nominal millions of dollars",51
1882,300,"1881/1882","Gross federal debt","Nominal millions of dollars",205
1882,310,"1881/1882","Unmatured debt","Nominal millions of dollars",146
1882,311,"1881/1882","Treasury bills","Nominal millions of dollars",0
1882,312,"1881/1882","Canada savings bonds","Nominal millions of dollars",0
1882,313,"1881/1882","Marketable bonds","Nominal millions of dollars",146
1882,320,"1881/1882","Superannuation accounts","Nominal millions of dollars",0
1882,330,"1881/1882","Other liabilities","Nominal millions of dollars",59
1882,401,"1881/1882","Unmatured debt payable in foreign currencies","Nominal millions of dollars",132
1882,521,"1881/1882","Debt charges","Nominal millions of dollars",8
1882,530,"1881/1882","Cash deficit (+) or surplus (-)","Nominal millions of dollars",-2
1883,100,"1882/1883","Net federal debt","Nominal millions of dollars",158
1883,200,"1882/1883","Financial assets","Nominal millions of dollars",45
1883,300,"1882/1883","Gross federal debt","Nominal millions of dollars",203
1883,310,"1882/1883","Unmatured debt","Nominal millions of dollars",139
